Interval,Date,Open,High,Low,Close,Adj Close,Volume
5m,2023-11-08 10:00:00+07:00,5.25,5.300000190734863,5.199999809265137,5.199999809265137,5.199999809265137,0
5m,2023-11-08 10:05:00+07:00,5.199999809265137,5.25,5.199999809265137,5.199999809265137,5.199999809265137,128800
5m,2023-11-08 10:10:00+07:00,5.199999809265137,5.25,5.199999809265137,5.199999809265137,5.199999809265137,12006
5m,2023-11-08 10:15:00+07:00,5.199999809265137,5.25,5.199999809265137,5.25,5.25,151602
5m,2023-11-08 10:20:00+07:00,5.199999809265137,5.25,5.199999809265137,5.199999809265137,5.199999809265137,13000
5m,2023-11-08 10:25:00+07:00,5.199999809265137,5.25,5.199999809265137,5.199999809265137,5.199999809265137,20800
5m,2023-11-08 10:30:00+07:00,5.199999809265137,5.25,5.199999809265137,5.25,5.25,9500
5m,2023-11-08 10:35:00+07:00,5.199999809265137,5.25,5.199999809265137,5.25,5.25,69700
5m,2023-11-08 10:40:00+07:00,5.25,5.25,5.199999809265137,5.25,5.25,8900
5m,2023-11-08 10:45:00+07:00,5.25,5.25,5.199999809265137,5.25,5.25,82100
5m,2023-11-08 10:50:00+07:00,5.25,5.25,5.199999809265137,5.25,5.25,206700
5m,2023-11-08 10:55:00+07:00,5.199999809265137,5.25,5.199999809265137,5.199999809265137,5.199999809265137,250200
5m,2023-11-08 11:00:00+07:00,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,600
5m,2023-11-08 11:05:00+07:00,5.25,5.25,5.199999809265137,5.199999809265137,5.199999809265137,1300
5m,2023-11-08 11:10:00+07:00,5.199999809265137,5.25,5.199999809265137,5.25,5.25,8300
5m,2023-11-08 11:15:00+07:00,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,2100
5m,2023-11-08 11:20:00+07:00,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,300
5m,2023-11-08 11:25:00+07:00,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,400
5m,2023-11-08 11:30:00+07:00,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,2300
5m,2023-11-08 11:35:00+07:00,5.199999809265137,5.25,5.199999809265137,5.199999809265137,5.199999809265137,30200
5m,2023-11-08 11:40:00+07:00,5.199999809265137,5.300000190734863,5.199999809265137,5.25,5.25,365400
5m,2023-11-08 11:45:00+07:00,5.25,5.25,5.25,5.25,5.25,1600
5m,2023-11-08 11:50:00+07:00,5.25,5.25,5.25,5.25,5.25,700
5m,2023-11-08 11:55:00+07:00,5.25,5.25,5.25,5.25,5.25,0
5m,2023-11-08 12:00:00+07:00,5.25,5.25,5.25,5.25,5.25,300
5m,2023-11-08 12:05:00+07:00,5.25,5.25,5.25,5.25,5.25,6100
5m,2023-11-08 12:10:00+07:00,5.25,5.300000190734863,5.25,5.300000190734863,5.300000190734863,268800
5m,2023-11-08 12:15:00+07:00,5.25,5.25,5.25,5.25,5.25,0
5m,2023-11-08 12:20:00+07:00,5.25,5.300000190734863,5.25,5.25,5.25,8100
5m,2023-11-08 12:25:00+07:00,5.25,5.25,5.25,5.25,5.25,4800
5m,2023-11-08 14:25:00+07:00,5.300000190734863,5.300000190734863,5.25,5.300000190734863,5.300000190734863,273700
5m,2023-11-08 14:30:00+07:00,5.25,5.300000190734863,5.25,5.25,5.25,34200
5m,2023-11-08 14:35:00+07:00,5.25,5.25,5.25,5.25,5.25,200
5m,2023-11-08 14:40:00+07:00,5.25,5.300000190734863,5.199999809265137,5.199999809265137,5.199999809265137,913100
5m,2023-11-08 14:45:00+07:00,5.199999809265137,5.25,5.199999809265137,5.199999809265137,5.199999809265137,83900
5m,2023-11-08 14:50:00+07:00,5.199999809265137,5.199999809265137,5.150000095367432,5.199999809265137,5.199999809265137,506500
5m,2023-11-08 14:55:00+07:00,5.150000095367432,5.199999809265137,5.150000095367432,5.199999809265137,5.199999809265137,5900
5m,2023-11-08 15:00:00+07:00,5.150000095367432,5.199999809265137,5.150000095367432,5.199999809265137,5.199999809265137,22200
5m,2023-11-08 15:05:00+07:00,5.199999809265137,5.199999809265137,5.150000095367432,5.199999809265137,5.199999809265137,15300
5m,2023-11-08 15:10:00+07:00,5.199999809265137,5.199999809265137,5.150000095367432,5.150000095367432,5.150000095367432,51800
5m,2023-11-08 15:15:00+07:00,5.199999809265137,5.25,5.199999809265137,5.199999809265137,5.199999809265137,1394200
5m,2023-11-08 15:20:00+07:00,5.199999809265137,5.199999809265137,5.150000095367432,5.150000095367432,5.150000095367432,66400
5m,2023-11-08 15:25:00+07:00,5.199999809265137,5.199999809265137,5.150000095367432,5.199999809265137,5.199999809265137,47800
5m,2023-11-08 15:30:00+07:00,5.199999809265137,5.199999809265137,5.150000095367432,5.199999809265137,5.199999809265137,151330
5m,2023-11-08 15:35:00+07:00,5.150000095367432,5.199999809265137,5.150000095367432,5.199999809265137,5.199999809265137,11700
5m,2023-11-08 15:40:00+07:00,5.199999809265137,5.199999809265137,5.150000095367432,5.199999809265137,5.199999809265137,7200
5m,2023-11-08 15:45:00+07:00,5.150000095367432,5.199999809265137,5.150000095367432,5.150000095367432,5.150000095367432,12500
5m,2023-11-08 15:50:00+07:00,5.150000095367432,5.199999809265137,5.150000095367432,5.150000095367432,5.150000095367432,10800
5m,2023-11-08 15:55:00+07:00,5.150000095367432,5.199999809265137,5.150000095367432,5.199999809265137,5.199999809265137,271300
5m,2023-11-08 16:00:00+07:00,5.199999809265137,5.199999809265137,5.150000095367432,5.199999809265137,5.199999809265137,212500
5m,2023-11-08 16:05:00+07:00,5.199999809265137,5.199999809265137,5.150000095367432,5.150000095367432,5.150000095367432,0
5m,2023-11-08 16:10:00+07:00,5.199999809265137,5.199999809265137,5.150000095367432,5.150000095367432,5.150000095367432,1262100
5m,2023-11-08 16:15:00+07:00,5.150000095367432,5.199999809265137,5.150000095367432,5.150000095367432,5.150000095367432,72415
5m,2023-11-08 16:20:00+07:00,5.150000095367432,5.150000095367432,5.150000095367432,5.150000095367432,5.150000095367432,3400
5m,2023-11-08 16:25:00+07:00,5.150000095367432,5.199999809265137,5.150000095367432,5.150000095367432,5.150000095367432,20700
5m,2023-11-09 10:00:00+07:00,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,0
5m,2023-11-09 10:05:00+07:00,5.150000095367432,5.150000095367432,5.150000095367432,5.150000095367432,5.150000095367432,4600
5m,2023-11-09 10:10:00+07:00,5.150000095367432,5.199999809265137,5.150000095367432,5.150000095367432,5.150000095367432,13300
5m,2023-11-09 10:15:00+07:00,5.150000095367432,5.199999809265137,5.150000095367432,5.150000095367432,5.150000095367432,10500
5m,2023-11-09 10:20:00+07:00,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,600
5m,2023-11-09 10:25:00+07:00,5.199999809265137,5.199999809265137,5.150000095367432,5.150000095367432,5.150000095367432,896100
5m,2023-11-09 10:30:00+07:00,5.099999904632568,5.150000095367432,5.099999904632568,5.150000095367432,5.150000095367432,19000
5m,2023-11-09 10:35:00+07:00,5.099999904632568,5.150000095367432,5.099999904632568,5.099999904632568,5.099999904632568,1700
5m,2023-11-09 10:40:00+07:00,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,60100
5m,2023-11-09 10:45:00+07:00,5.099999904632568,5.150000095367432,5.099999904632568,5.099999904632568,5.099999904632568,313900
5m,2023-11-09 10:50:00+07:00,5.099999904632568,5.150000095367432,5.099999904632568,5.099999904632568,5.099999904632568,12400
5m,2023-11-09 10:55:00+07:00,5.150000095367432,5.150000095367432,5.099999904632568,5.099999904632568,5.099999904632568,1500
5m,2023-11-09 11:00:00+07:00,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,8900
5m,2023-11-09 11:05:00+07:00,5.099999904632568,5.099999904632568,5.050000190734863,5.099999904632568,5.099999904632568,1706800
5m,2023-11-09 11:10:00+07:00,5.050000190734863,5.099999904632568,5.050000190734863,5.050000190734863,5.050000190734863,0
5m,2023-11-09 11:15:00+07:00,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,355600
5m,2023-11-09 11:20:00+07:00,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,10500
5m,2023-11-09 11:25:00+07:00,5.050000190734863,5.050000190734863,5.050000190734863,5.050000190734863,5.050000190734863,438100
5m,2023-11-09 11:30:00+07:00,5.050000190734863,5.099999904632568,5.050000190734863,5.099999904632568,5.099999904632568,1100
5m,2023-11-09 11:35:00+07:00,5.050000190734863,5.099999904632568,5.050000190734863,5.099999904632568,5.099999904632568,33900
5m,2023-11-09 11:40:00+07:00,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,0
5m,2023-11-09 11:45:00+07:00,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,20000
5m,2023-11-09 11:50:00+07:00,5.099999904632568,5.099999904632568,5.050000190734863,5.050000190734863,5.050000190734863,773000
