Interval,Date,Open,High,Low,Close,Adj Close,Volume
1m,2024-01-03 10:00:00+07:00,5.150000095367432,5.150000095367432,5.150000095367432,5.150000095367432,5.150000095367432,0
1m,2024-01-03 10:01:00+07:00,5.150000095367432,5.199999809265137,5.150000095367432,5.199999809265137,5.199999809265137,0
1m,2024-01-03 10:02:00+07:00,5.150000095367432,5.150000095367432,5.150000095367432,5.150000095367432,5.150000095367432,509401
1m,2024-01-03 10:03:00+07:00,5.150000095367432,5.199999809265137,5.099999904632568,5.199999809265137,5.199999809265137,2215500
1m,2024-01-03 10:04:00+07:00,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,5500
1m,2024-01-03 10:05:00+07:00,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,7000
1m,2024-01-03 10:06:00+07:00,5.199999809265137,5.199999809265137,5.150000095367432,5.199999809265137,5.199999809265137,6200
1m,2024-01-03 10:07:00+07:00,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,5700
1m,2024-01-03 10:08:00+07:00,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,7300
1m,2024-01-03 10:09:00+07:00,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,6700
1m,2024-01-03 10:10:00+07:00,5.199999809265137,5.199999809265137,5.150000095367432,5.150000095367432,5.150000095367432,4800
1m,2024-01-03 10:11:00+07:00,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,5.199999809265137,4400
1m,2024-01-03 10:12:00+07:00,5.150000095367432,5.199999809265137,5.150000095367432,5.199999809265137,5.199999809265137,11500
1m,2024-01-03 10:13:00+07:00,5.199999809265137,5.25,5.199999809265137,5.25,5.25,1259700
1m,2024-01-03 10:14:00+07:00,5.199999809265137,5.25,5.199999809265137,5.25,5.25,3200
1m,2024-01-03 10:15:00+07:00,5.25,5.25,5.25,5.25,5.25,2200
1m,2024-01-03 10:16:00+07:00,5.25,5.25,5.25,5.25,5.25,4400
1m,2024-01-03 10:17:00+07:00,5.25,5.25,5.199999809265137,5.199999809265137,5.199999809265137,3200
1m,2024-01-03 10:18:00+07:00,5.25,5.25,5.25,5.25,5.25,7201
1m,2024-01-03 10:19:00+07:00,5.25,5.25,5.25,5.25,5.25,4100
1m,2024-01-03 10:20:00+07:00,5.25,5.25,5.25,5.25,5.25,3300
1m,2024-01-03 10:21:00+07:00,5.199999809265137,5.25,5.199999809265137,5.199999809265137,5.199999809265137,104100
1m,2024-01-03 10:22:00+07:00,5.25,5.300000190734863,5.199999809265137,5.25,5.25,635400
1m,2024-01-03 10:23:00+07:00,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,3000
1m,2024-01-03 10:24:00+07:00,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,77500
1m,2024-01-03 10:25:00+07:00,5.25,5.25,5.25,5.25,5.25,1901
1m,2024-01-03 10:26:00+07:00,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,4835
1m,2024-01-03 10:28:00+07:00,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,17300
1m,2024-01-03 10:29:00+07:00,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,4900
1m,2024-01-03 10:30:00+07:00,5.300000190734863,5.300000190734863,5.25,5.25,5.25,2400
1m,2024-01-03 10:31:00+07:00,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,3100
1m,2024-01-03 10:32:00+07:00,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,5400
1m,2024-01-03 10:33:00+07:00,5.300000190734863,5.300000190734863,5.25,5.25,5.25,2700
1m,2024-01-03 10:34:00+07:00,5.300000190734863,5.349999904632568,5.300000190734863,5.349999904632568,5.349999904632568,685420
1m,2024-01-03 10:35:00+07:00,5.349999904632568,5.349999904632568,5.349999904632568,5.349999904632568,5.349999904632568,515600
1m,2024-01-03 10:36:00+07:00,5.349999904632568,5.349999904632568,5.349999904632568,5.349999904632568,5.349999904632568,2400
1m,2024-01-03 10:37:00+07:00,5.349999904632568,5.349999904632568,5.349999904632568,5.349999904632568,5.349999904632568,4300
1m,2024-01-03 10:38:00+07:00,5.349999904632568,5.349999904632568,5.349999904632568,5.349999904632568,5.349999904632568,2100
1m,2024-01-03 10:39:00+07:00,5.349999904632568,5.349999904632568,5.349999904632568,5.349999904632568,5.349999904632568,30800
1m,2024-01-03 10:40:00+07:00,5.349999904632568,5.349999904632568,5.349999904632568,5.349999904632568,5.349999904632568,0
1m,2024-01-03 10:41:00+07:00,5.349999904632568,5.349999904632568,5.349999904632568,5.349999904632568,5.349999904632568,3740
1m,2024-01-03 10:42:00+07:00,5.349999904632568,5.400000095367432,5.349999904632568,5.400000095367432,5.400000095367432,787700
1m,2024-01-03 10:43:00+07:00,5.349999904632568,5.400000095367432,5.349999904632568,5.349999904632568,5.349999904632568,4398
1m,2024-01-03 10:44:00+07:00,5.349999904632568,5.400000095367432,5.349999904632568,5.400000095367432,5.400000095367432,6500
1m,2024-01-03 10:45:00+07:00,5.400000095367432,5.400000095367432,5.400000095367432,5.400000095367432,5.400000095367432,3600
1m,2024-01-03 10:46:00+07:00,5.400000095367432,5.400000095367432,5.400000095367432,5.400000095367432,5.400000095367432,0
1m,2024-01-03 10:47:00+07:00,5.400000095367432,5.400000095367432,5.349999904632568,5.349999904632568,5.349999904632568,151300
1m,2024-01-03 10:48:00+07:00,5.400000095367432,5.400000095367432,5.400000095367432,5.400000095367432,5.400000095367432,0
1m,2024-01-03 10:49:00+07:00,5.349999904632568,5.400000095367432,5.349999904632568,5.400000095367432,5.400000095367432,4600
1m,2024-01-03 10:50:00+07:00,5.400000095367432,5.400000095367432,5.400000095367432,5.400000095367432,5.400000095367432,3000
1m,2024-01-03 10:51:00+07:00,5.400000095367432,5.400000095367432,5.349999904632568,5.349999904632568,5.349999904632568,15400
1m,2024-01-03 10:52:00+07:00,5.400000095367432,5.400000095367432,5.349999904632568,5.349999904632568,5.349999904632568,12100
1m,2024-01-03 10:53:00+07:00,5.400000095367432,5.400000095367432,5.349999904632568,5.349999904632568,5.349999904632568,15700
1m,2024-01-03 10:54:00+07:00,5.400000095367432,5.400000095367432,5.300000190734863,5.300000190734863,5.300000190734863,1005100
1m,2024-01-03 10:55:00+07:00,5.349999904632568,5.349999904632568,5.300000190734863,5.300000190734863,5.300000190734863,13103
1m,2024-01-03 10:56:00+07:00,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,14600
1m,2024-01-03 10:57:00+07:00,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,19100
1m,2024-01-03 10:58:00+07:00,5.300000190734863,5.300000190734863,5.25,5.300000190734863,5.300000190734863,945200
1m,2024-01-03 10:59:00+07:00,5.25,5.25,5.25,5.25,5.25,14400
1m,2024-01-03 11:01:00+07:00,5.300000190734863,5.300000190734863,5.25,5.300000190734863,5.300000190734863,13400
1m,2024-01-03 11:02:00+07:00,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,800
1m,2024-01-03 11:03:00+07:00,5.25,5.25,5.25,5.25,5.25,6405
1m,2024-01-03 11:05:00+07:00,5.300000190734863,5.300000190734863,5.25,5.25,5.25,13800
1m,2024-01-03 11:07:00+07:00,5.25,5.25,5.25,5.25,5.25,10500
