Interval,Date,Open,High,Low,Close,Adj Close,Volume
2m,2023-11-15 10:00:00+07:00,97.25,97.25,97.25,97.25,97.25,0
2m,2023-11-15 10:06:00+07:00,97.25,97.25,97.0,97.0,97.0,2302
2m,2023-11-15 10:08:00+07:00,97.0,97.25,97.0,97.25,97.25,6668
2m,2023-11-15 10:10:00+07:00,97.0,97.0,97.0,97.0,97.0,2353
2m,2023-11-15 10:16:00+07:00,97.25,97.25,97.25,97.25,97.25,1253
2m,2023-11-15 10:18:00+07:00,97.25,97.25,97.25,97.25,97.25,102
2m,2023-11-15 10:22:00+07:00,97.25,97.25,97.25,97.25,97.25,147130
2m,2023-11-15 10:24:00+07:00,97.5,97.5,97.25,97.25,97.25,12505
2m,2023-11-15 10:26:00+07:00,97.25,97.25,97.25,97.25,97.25,301
2m,2023-11-15 10:28:00+07:00,97.25,97.25,97.25,97.25,97.25,2510
2m,2023-11-15 10:30:00+07:00,97.0,97.0,97.0,97.0,97.0,202
2m,2023-11-15 10:32:00+07:00,97.25,97.25,97.0,97.25,97.25,3529
2m,2023-11-15 10:34:00+07:00,97.25,97.25,97.25,97.25,97.25,26802
2m,2023-11-15 10:36:00+07:00,97.25,97.25,97.25,97.25,97.25,6017
2m,2023-11-15 10:38:00+07:00,97.25,97.25,97.25,97.25,97.25,3613
2m,2023-11-15 10:40:00+07:00,97.25,97.25,97.25,97.25,97.25,0
2m,2023-11-15 10:42:00+07:00,97.0,97.25,97.0,97.0,97.0,1206
2m,2023-11-15 10:44:00+07:00,97.0,97.25,97.0,97.0,97.0,9010
2m,2023-11-15 10:46:00+07:00,97.0,97.25,97.0,97.0,97.0,4100
2m,2023-11-15 10:48:00+07:00,97.0,97.25,97.0,97.0,97.0,1603
2m,2023-11-15 10:50:00+07:00,97.0,97.5,97.0,97.5,97.5,85211
2m,2023-11-15 10:52:00+07:00,97.5,97.5,97.5,97.5,97.5,2400
2m,2023-11-15 10:54:00+07:00,97.5,97.5,97.25,97.25,97.25,1800
2m,2023-11-15 10:56:00+07:00,97.5,97.5,97.25,97.25,97.25,4900
2m,2023-11-15 10:58:00+07:00,97.25,97.5,97.25,97.5,97.5,1700
2m,2023-11-15 11:02:00+07:00,97.25,97.5,97.25,97.5,97.5,23415
2m,2023-11-15 11:04:00+07:00,97.25,97.25,97.25,97.25,97.25,4533
