Interval,Date,Open,High,Low,Close,Adj Close,Volume
15m,2023-11-08 00:00:00,1973.800048828125,1974.0999755859375,1973.300048828125,1973.4000244140625,1973.4000244140625,266
15m,2023-11-08 00:15:00,1973.4000244140625,1973.4000244140625,1972.199951171875,1972.199951171875,1972.199951171875,547
15m,2023-11-08 00:30:00,1972.300048828125,1972.4000244140625,1971.199951171875,1971.300048828125,1971.300048828125,943
15m,2023-11-08 00:45:00,1971.300048828125,1972.300048828125,1971.300048828125,1971.5999755859375,1971.5999755859375,494
15m,2023-11-08 01:00:00,1971.699951171875,1972.5,1971.0999755859375,1972.5,1972.5,1046
15m,2023-11-08 01:15:00,1972.4000244140625,1975.300048828125,1972.300048828125,1974.5,1974.5,1464
15m,2023-11-08 01:30:00,1974.5999755859375,1974.9000244140625,1973.699951171875,1974.199951171875,1974.199951171875,426
15m,2023-11-08 01:45:00,1974.199951171875,1975.0999755859375,1973.300048828125,1973.300048828125,1973.300048828125,619
15m,2023-11-08 02:00:00,1973.5,1974.0999755859375,1972.4000244140625,1972.5,1972.5,748
15m,2023-11-08 02:15:00,1972.5,1973.5999755859375,1971.699951171875,1973.0999755859375,1973.0999755859375,1389
15m,2023-11-08 02:30:00,1973.0,1974.800048828125,1972.800048828125,1974.5999755859375,1974.5999755859375,676
15m,2023-11-08 02:45:00,1974.5999755859375,1974.699951171875,1973.5,1973.800048828125,1973.800048828125,600
15m,2023-11-08 03:00:00,1973.800048828125,1975.300048828125,1973.4000244140625,1974.5,1974.5,1202
15m,2023-11-08 03:15:00,1974.5999755859375,1975.0,1973.0999755859375,1974.4000244140625,1974.4000244140625,1002
15m,2023-11-08 03:30:00,1974.4000244140625,1974.5,1973.5999755859375,1974.199951171875,1974.199951171875,423
15m,2023-11-08 03:45:00,1974.199951171875,1974.699951171875,1973.9000244140625,1974.4000244140625,1974.4000244140625,626
15m,2023-11-08 04:00:00,1974.5,1974.5999755859375,1972.800048828125,1973.0999755859375,1973.0999755859375,952
15m,2023-11-08 04:15:00,1973.199951171875,1974.0,1971.9000244140625,1973.199951171875,1973.199951171875,2004
15m,2023-11-08 04:30:00,1973.199951171875,1973.199951171875,1972.0,1972.699951171875,1972.699951171875,1169
15m,2023-11-08 04:45:00,1972.699951171875,1972.800048828125,1971.5,1971.699951171875,1971.699951171875,620
15m,2023-11-08 05:00:00,1971.5,1971.5999755859375,1968.800048828125,1969.0,1969.0,2757
15m,2023-11-08 05:15:00,1968.9000244140625,1969.699951171875,1966.5999755859375,1966.800048828125,1966.800048828125,2304
15m,2023-11-08 05:30:00,1966.699951171875,1967.5,1966.5,1967.0,1967.0,1808
15m,2023-11-08 05:45:00,1967.0999755859375,1968.800048828125,1966.5999755859375,1968.0999755859375,1968.0999755859375,1456
15m,2023-11-08 06:00:00,1968.0999755859375,1970.199951171875,1967.9000244140625,1969.800048828125,1969.800048828125,1810
15m,2023-11-08 06:15:00,1969.800048828125,1970.5999755859375,1969.4000244140625,1970.5999755859375,1970.5999755859375,1259
15m,2023-11-08 06:30:00,1970.5999755859375,1971.4000244140625,1970.300048828125,1970.5999755859375,1970.5999755859375,1476
15m,2023-11-08 06:45:00,1970.699951171875,1971.300048828125,1970.4000244140625,1970.699951171875,1970.699951171875,515
15m,2023-11-08 07:00:00,1970.699951171875,1970.800048828125,1968.300048828125,1968.5,1968.5,1267
15m,2023-11-08 07:15:00,1968.4000244140625,1969.699951171875,1968.0,1969.4000244140625,1969.4000244140625,977
15m,2023-11-08 07:30:00,1969.4000244140625,1969.800048828125,1968.300048828125,1969.4000244140625,1969.4000244140625,1039
15m,2023-11-08 07:45:00,1969.300048828125,1969.4000244140625,1968.0,1968.9000244140625,1968.9000244140625,1525
15m,2023-11-08 08:00:00,1969.0,1972.699951171875,1969.0,1972.5,1972.5,2347
15m,2023-11-08 08:15:00,1972.5,1973.0,1968.800048828125,1968.9000244140625,1968.9000244140625,5208
15m,2023-11-08 08:30:00,1969.0999755859375,1971.199951171875,1969.0999755859375,1970.4000244140625,1970.4000244140625,2319
15m,2023-11-08 08:45:00,1970.4000244140625,1971.0,1969.5,1971.0,1971.0,1699
15m,2023-11-08 09:00:00,1971.0,1972.5999755859375,1969.800048828125,1970.199951171875,1970.199951171875,2042
15m,2023-11-08 09:15:00,1970.199951171875,1971.5999755859375,1968.4000244140625,1968.9000244140625,1968.9000244140625,2987
15m,2023-11-08 09:30:00,1968.800048828125,1969.5,1966.800048828125,1968.0999755859375,1968.0999755859375,4104
15m,2023-11-08 09:45:00,1968.0,1968.4000244140625,1965.699951171875,1966.300048828125,1966.300048828125,4341
15m,2023-11-08 10:00:00,1966.199951171875,1966.699951171875,1963.300048828125,1964.4000244140625,1964.4000244140625,6148
15m,2023-11-08 10:15:00,1964.5,1964.9000244140625,1961.199951171875,1962.4000244140625,1962.4000244140625,6756
