Interval,Date,Open,High,Low,Close,Adj Close,Volume
15m,8/11/2023 10:00,5.25,5.300000191,5.199999809,5.199999809,5.199999809,140806
15m,8/11/2023 10:15,5.199999809,5.25,5.199999809,5.199999809,5.199999809,185402
15m,8/11/2023 10:30,5.199999809,5.25,5.199999809,5.25,5.25,88100
15m,8/11/2023 10:45,5.25,5.25,5.199999809,5.199999809,5.199999809,539000
15m,8/11/2023 11:00,5.199999809,5.25,5.199999809,5.25,5.25,10200
15m,8/11/2023 11:15,5.199999809,5.199999809,5.199999809,5.199999809,5.199999809,2800
15m,8/11/2023 11:30,5.199999809,5.300000191,5.199999809,5.25,5.25,397900
15m,8/11/2023 11:45,5.25,5.25,5.25,5.25,5.25,2300
15m,8/11/2023 12:00,5.25,5.300000191,5.25,5.300000191,5.300000191,275200
15m,8/11/2023 12:15,5.25,5.300000191,5.25,5.25,5.25,12900
15m,8/11/2023 14:15,5.300000191,5.300000191,5.25,5.300000191,5.300000191,273700
15m,8/11/2023 14:30,5.25,5.300000191,5.199999809,5.199999809,5.199999809,947500
15m,8/11/2023 14:45,5.199999809,5.25,5.150000095,5.199999809,5.199999809,596300
15m,8/11/2023 15:00,5.150000095,5.199999809,5.150000095,5.150000095,5.150000095,89300
15m,8/11/2023 15:15,5.199999809,5.25,5.150000095,5.199999809,5.199999809,1508400
15m,8/11/2023 15:30,5.199999809,5.199999809,5.150000095,5.199999809,5.199999809,170230
15m,8/11/2023 15:45,5.150000095,5.199999809,5.150000095,5.199999809,5.199999809,294600
15m,8/11/2023 16:00,5.199999809,5.199999809,5.150000095,5.150000095,5.150000095,1474600
15m,8/11/2023 16:15,5.150000095,5.199999809,5.150000095,5.150000095,5.150000095,96515
