Interval,Date,Open,High,Low,Close,Adj Close,Volume
15m,2023-11-09 10:00:00,378.70001220703125,378.70001220703125,376.3299865722656,377.010009765625,377.010009765625,0
15m,2023-11-09 10:15:00,377.010009765625,377.8800048828125,377.010009765625,377.04998779296875,377.04998779296875,0
15m,2023-11-09 10:30:00,376.55999755859375,377.55999755859375,376.55999755859375,377.55999755859375,377.55999755859375,0
15m,2023-11-09 10:45:00,377.1099853515625,377.82000732421875,376.30999755859375,377.7799987792969,377.7799987792969,0
15m,2023-11-09 11:00:00,377.5299987792969,377.6199951171875,376.8500061035156,377.2099914550781,377.2099914550781,0
15m,2023-11-09 11:15:00,377.25,377.69000244140625,376.94000244140625,377.3999938964844,377.3999938964844,0
15m,2023-11-09 11:30:00,377.1499938964844,377.95001220703125,376.8999938964844,377.6000061035156,377.6000061035156,0
15m,2023-11-09 11:45:00,377.5,377.7900085449219,376.6400146484375,377.30999755859375,377.30999755859375,0
15m,2023-11-09 12:00:00,376.82000732421875,377.19000244140625,376.2900085449219,376.44000244140625,376.44000244140625,0
15m,2023-11-09 12:15:00,376.7099914550781,377.3999938964844,375.7699890136719,377.1099853515625,377.1099853515625,0
15m,2023-11-09 12:30:00,377.67999267578125,377.67999267578125,377.67999267578125,377.67999267578125,377.67999267578125,0
15m,2023-11-09 14:15:00,376.9800109863281,377.6099853515625,376.69000244140625,376.8699951171875,376.8699951171875,0
15m,2023-11-09 14:30:00,377.32000732421875,377.9700012207031,377.0199890136719,377.0799865722656,377.0799865722656,0
15m,2023-11-09 14:45:00,377.3299865722656,378.20001220703125,376.8500061035156,377.0899963378906,377.0899963378906,0
15m,2023-11-09 15:00:00,377.4800109863281,378.30999755859375,377.2799987792969,377.57000732421875,377.57000732421875,0
15m,2023-11-09 15:15:00,377.67999267578125,379.0400085449219,377.05999755859375,379.0400085449219,379.0400085449219,0
15m,2023-11-09 15:30:00,378.989990234375,378.989990234375,377.6099853515625,377.8599853515625,377.8599853515625,0
15m,2023-11-09 15:45:00,378.1499938964844,378.3299865722656,377.1400146484375,377.3599853515625,377.3599853515625,0
15m,2023-11-09 16:00:00,377.6199951171875,378.3699951171875,377.1400146484375,378.1000061035156,378.1000061035156,0
15m,2023-11-09 16:15:00,378.6400146484375,378.6400146484375,377.57000732421875,377.6600036621094,377.6600036621094,0
15m,2023-11-10 10:00:00,375.79998779296875,376.0899963378906,374.6199951171875,374.95001220703125,374.95001220703125,0
15m,2023-11-10 10:15:00,374.75,376.3299865722656,374.5799865722656,376.1400146484375,376.1400146484375,0
15m,2023-11-10 10:30:00,376.1000061035156,376.3900146484375,375.7699890136719,376.05999755859375,376.05999755859375,0
15m,2023-11-10 10:45:00,376.260009765625,376.5199890136719,375.7699890136719,376.0299987792969,376.0299987792969,0
15m,2023-11-10 11:00:00,376.0299987792969,377.29998779296875,375.7900085449219,377.04998779296875,377.04998779296875,0
15m,2023-11-10 11:15:00,376.8399963378906,378.1099853515625,376.6199951171875,378.1099853515625,378.1099853515625,0
15m,2023-11-10 11:30:00,378.1099853515625,378.1099853515625,376.3800048828125,376.6400146484375,376.6400146484375,0
15m,2023-11-10 11:45:00,376.6400146484375,377.6199951171875,376.5899963378906,377.2799987792969,377.2799987792969,0
15m,2023-11-10 12:00:00,377.2799987792969,377.5199890136719,376.7900085449219,377.1199951171875,377.1199951171875,0
15m,2023-11-10 12:15:00,377.1199951171875,377.32000732421875,376.6199951171875,377.32000732421875,377.32000732421875,0
15m,2023-11-10 12:30:00,377.32000732421875,377.32000732421875,377.32000732421875,377.32000732421875,377.32000732421875,0
15m,2023-11-10 14:15:00,376.70001220703125,376.9200134277344,376.1700134277344,376.9200134277344,376.9200134277344,0
15m,2023-11-10 14:30:00,377.1199951171875,377.7900085449219,376.4200134277344,377.4100036621094,377.4100036621094,0
15m,2023-11-10 14:45:00,377.1099853515625,377.6000061035156,376.67999267578125,377.5400085449219,377.5400085449219,0
15m,2023-11-10 15:00:00,377.6000061035156,377.8399963378906,375.94000244140625,376.25,376.25,0
15m,2023-11-10 15:15:00,376.19000244140625,376.5,375.6600036621094,375.9700012207031,375.9700012207031,0
15m,2023-11-10 15:30:00,375.9700012207031,377.17999267578125,375.9200134277344,376.5799865722656,376.5799865722656,0
15m,2023-11-10 15:45:00,376.5799865722656,377.5,375.739990234375,375.739990234375,375.739990234375,0
15m,2023-11-10 16:00:00,375.739990234375,376.3500061035156,375.3500061035156,376.3500061035156,376.3500061035156,0
15m,2023-11-10 16:15:00,376.05999755859375,376.1000061035156,374.70001220703125,374.92999267578125,374.92999267578125,0
15m,2023-11-13 10:00:00,374.8299865722656,374.8299865722656,372.6000061035156,373.2799987792969,373.2799987792969,0
15m,2023-11-13 10:15:00,373.7300109863281,374.25,372.6600036621094,373.1099853515625,373.1099853515625,0
15m,2023-11-13 10:30:00,373.6700134277344,373.6700134277344,371.6700134277344,372.1700134277344,372.1700134277344,0
15m,2023-11-13 10:45:00,372.1700134277344,372.7200012207031,371.54998779296875,372.3599853515625,372.3599853515625,0
15m,2023-11-13 11:00:00,372.3599853515625,373.0199890136719,371.8900146484375,372.80999755859375,372.80999755859375,0
15m,2023-11-13 11:15:00,372.80999755859375,373.3699951171875,372.2699890136719,372.510009765625,372.510009765625,0
15m,2023-11-13 11:30:00,372.010009765625,373.1400146484375,371.9599914550781,372.489990234375,372.489990234375,0
15m,2023-11-13 11:45:00,372.489990234375,372.739990234375,371.760009765625,372.1400146484375,372.1400146484375,0
15m,2023-11-13 12:00:00,372.42999267578125,372.8999938964844,371.6400146484375,372.04998779296875,372.04998779296875,0
15m,2023-11-13 12:15:00,372.04998779296875,372.989990234375,371.69000244140625,372.2900085449219,372.2900085449219,0
15m,2023-11-13 12:30:00,372.20001220703125,372.20001220703125,372.20001220703125,372.20001220703125,372.20001220703125,0
15m,2023-11-13 14:15:00,372.6199951171875,372.9599914550781,372.6199951171875,372.760009765625,372.760009765625,0
15m,2023-11-13 14:30:00,372.30999755859375,373.1300048828125,372.30999755859375,373.1300048828125,373.1300048828125,0
15m,2023-11-13 14:45:00,373.05999755859375,374.0400085449219,372.6400146484375,373.8500061035156,373.8500061035156,0
15m,2023-11-13 15:00:00,374.05999755859375,374.05999755859375,372.8299865722656,373.5,373.5,0
15m,2023-11-13 15:15:00,373.55999755859375,374.010009765625,373.2699890136719,373.739990234375,373.739990234375,0
15m,2023-11-13 15:30:00,373.57000732421875,373.9599914550781,372.6099853515625,373.260009765625,373.260009765625,0
15m,2023-11-13 15:45:00,373.6600036621094,373.9700012207031,372.8399963378906,373.4100036621094,373.4100036621094,0
15m,2023-11-13 16:00:00,373.4100036621094,373.8699951171875,372.5400085449219,373.3699951171875,373.3699951171875,0
15m,2023-11-13 16:15:00,373.6600036621094,373.7699890136719,372.7799987792969,373.6099853515625,373.6099853515625,0
15m,2023-11-14 10:00:00,373.2300109863281,374.57000732421875,372.989990234375,373.20001220703125,373.20001220703125,0
15m,2023-11-14 10:15:00,373.20001220703125,373.9599914550781,372.8500061035156,373.30999755859375,373.30999755859375,0
15m,2023-11-14 10:30:00,373.55999755859375,374.1000061035156,373.1499938964844,373.3999938964844,373.3999938964844,0
