Interval,Date,Open,High,Low,Close,Adj Close,Volume
5m,2023-11-13 10:00:00+07:00,20124.869140625,20139.490234375,20063.859375,20112.83984375,20112.83984375,0
5m,2023-11-13 10:05:00+07:00,20111.1796875,20128.2890625,20048.380859375,20117.80078125,20117.80078125,0
5m,2023-11-13 10:10:00+07:00,20077.7890625,20145.689453125,20077.7890625,20090.55078125,20090.55078125,0
5m,2023-11-13 10:15:00+07:00,20097.279296875,20171.66015625,20097.279296875,20167.740234375,20167.740234375,0
5m,2023-11-13 10:20:00+07:00,20165.609375,20175.150390625,20121.529296875,20121.529296875,20121.529296875,0
5m,2023-11-13 10:25:00+07:00,20127.939453125,20157.849609375,20078.169921875,20084.919921875,20084.919921875,0
5m,2023-11-13 10:30:00+07:00,20067.94921875,20117.109375,20060.279296875,20061.73046875,20061.73046875,0
5m,2023-11-13 10:35:00+07:00,20059.869140625,20116.48046875,20059.869140625,20097.279296875,20097.279296875,0
5m,2023-11-13 10:40:00+07:00,20104.759765625,20104.759765625,20044.9609375,20052.599609375,20052.599609375,0
5m,2023-11-13 10:45:00+07:00,20051.439453125,20135.400390625,20051.439453125,20106.720703125,20106.720703125,0
5m,2023-11-13 10:50:00+07:00,20115.859375,20148.869140625,20073.0,20097.310546875,20097.310546875,0
5m,2023-11-13 10:55:00+07:00,20094.900390625,20145.1796875,20075.26953125,20082.16015625,20082.16015625,0
5m,2023-11-13 11:00:00+07:00,20115.529296875,20134.51953125,20057.990234375,20101.80078125,20101.80078125,0
5m,2023-11-13 11:05:00+07:00,20107.619140625,20112.810546875,20041.9296875,20110.4609375,20110.4609375,0
5m,2023-11-13 11:10:00+07:00,20112.310546875,20112.310546875,20044.939453125,20085.169921875,20085.169921875,0
5m,2023-11-13 11:15:00+07:00,20082.509765625,20140.98046875,20058.01953125,20140.98046875,20140.98046875,0
5m,2023-11-13 11:20:00+07:00,20143.2109375,20170.220703125,20108.640625,20139.94921875,20139.94921875,0
5m,2023-11-13 11:25:00+07:00,20129.060546875,20180.380859375,20108.75,20110.76953125,20110.76953125,0
5m,2023-11-13 11:30:00+07:00,20100.759765625,20173.3203125,20098.400390625,20123.19921875,20123.19921875,0
5m,2023-11-13 11:35:00+07:00,20123.6796875,20165.23046875,20115.25,20165.23046875,20165.23046875,0
5m,2023-11-13 11:40:00+07:00,20175.119140625,20175.119140625,20116.470703125,20116.470703125,20116.470703125,0
5m,2023-11-13 11:45:00+07:00,20123.66015625,20161.650390625,20113.390625,20123.060546875,20123.060546875,0
5m,2023-11-13 11:50:00+07:00,20130.3203125,20152.5703125,20092.69921875,20117.220703125,20117.220703125,0
5m,2023-11-13 11:55:00+07:00,20111.609375,20130.890625,20083.51953125,20084.19921875,20084.19921875,0
5m,2023-11-13 12:00:00+07:00,20102.8203125,20152.55078125,20100.16015625,20113.939453125,20113.939453125,0
5m,2023-11-13 12:05:00+07:00,20107.119140625,20147.19921875,20080.51953125,20142.5390625,20142.5390625,0
5m,2023-11-13 12:10:00+07:00,20161.580078125,20162.439453125,20104.900390625,20124.490234375,20124.490234375,0
5m,2023-11-13 12:15:00+07:00,20117.25,20161.48046875,20098.380859375,20155.490234375,20155.490234375,0
5m,2023-11-13 12:20:00+07:00,20115.029296875,20159.140625,20099.119140625,20149.140625,20149.140625,0
5m,2023-11-13 12:25:00+07:00,20153.75,20183.69921875,20110.359375,20168.859375,20168.859375,0
5m,2023-11-13 12:30:00+07:00,20168.859375,20168.859375,20168.859375,20168.859375,20168.859375,0
