Interval,Date,Open,High,Low,Close,Adj Close,Volume
15m,2023-11-09 10:00:00,140.97999572753906,140.97999572753906,140.13999938964844,140.22000122070312,140.22000122070312,0
15m,2023-11-09 10:15:00,140.24000549316406,140.49000549316406,140.02000427246094,140.02000427246094,140.02000427246094,0
15m,2023-11-09 10:30:00,139.89999389648438,140.1699981689453,139.72000122070312,139.8699951171875,139.8699951171875,0
15m,2023-11-09 10:45:00,139.82000732421875,139.97999572753906,139.6300048828125,139.89999389648438,139.89999389648438,0
15m,2023-11-09 11:00:00,139.97999572753906,140.00999450683594,139.60000610351562,139.75999450683594,139.75999450683594,0
15m,2023-11-09 11:15:00,139.7100067138672,139.82000732421875,139.57000732421875,139.7100067138672,139.7100067138672,0
15m,2023-11-09 11:30:00,139.77000427246094,139.8699951171875,139.64999389648438,139.7899932861328,139.7899932861328,0
15m,2023-11-09 11:45:00,139.8000030517578,139.9199981689453,139.47999572753906,139.6699981689453,139.6699981689453,0
15m,2023-11-09 12:00:00,139.5399932861328,139.7100067138672,139.4199981689453,139.4199981689453,139.4199981689453,0
15m,2023-11-09 12:15:00,139.5399932861328,139.67999267578125,139.07000732421875,139.52999877929688,139.52999877929688,0
15m,2023-11-09 12:30:00,139.72999572753906,139.72999572753906,139.72999572753906,139.72999572753906,139.72999572753906,0
15m,2023-11-09 14:15:00,139.5399932861328,139.7100067138672,139.47999572753906,139.5500030517578,139.5500030517578,0
15m,2023-11-09 14:30:00,139.55999755859375,140.10000610351562,139.47999572753906,139.92999267578125,139.92999267578125,0
15m,2023-11-09 14:45:00,140.00999450683594,140.17999267578125,139.80999755859375,139.97999572753906,139.97999572753906,0
15m,2023-11-09 15:00:00,140.08999633789062,140.3800048828125,140.02999877929688,140.0500030517578,140.0500030517578,0
15m,2023-11-09 15:15:00,139.9199981689453,140.64999389648438,139.91000366210938,140.64999389648438,140.64999389648438,0
15m,2023-11-09 15:30:00,140.52999877929688,140.61000061035156,140.1300048828125,140.19000244140625,140.19000244140625,0
15m,2023-11-09 15:45:00,140.25999450683594,140.42999267578125,140.05999755859375,140.16000366210938,140.16000366210938,0
15m,2023-11-09 16:00:00,140.13999938964844,140.47999572753906,140.13999938964844,140.4600067138672,140.4600067138672,0
15m,2023-11-09 16:15:00,140.52000427246094,140.61000061035156,140.1699981689453,140.1699981689453,140.1699981689453,0
15m,2023-11-10 10:00:00,139.0800018310547,139.0800018310547,138.25,138.47000122070312,138.47000122070312,0
15m,2023-11-10 10:15:00,138.4600067138672,139.00999450683594,138.4600067138672,138.9600067138672,138.9600067138672,0
15m,2023-11-10 10:30:00,138.9499969482422,139.0,138.77999877929688,138.9199981689453,138.9199981689453,0
15m,2023-11-10 10:45:00,138.97000122070312,138.99000549316406,138.66000366210938,138.8699951171875,138.8699951171875,0
