Interval,Date,Open,High,Low,Close,Adj Close,Volume
15m,2023-11-09 10:00:00,433.92999267578125,433.92999267578125,430.82000732421875,431.6099853515625,431.6099853515625,0
15m,2023-11-09 10:15:00,431.42999267578125,431.9100036621094,430.82000732421875,431.1199951171875,431.1199951171875,0
15m,2023-11-09 10:30:00,430.760009765625,431.45001220703125,428.239990234375,428.239990234375,428.239990234375,0
15m,2023-11-09 10:45:00,428.2200012207031,428.95001220703125,427.75,428.0,428.0,0
15m,2023-11-09 11:00:00,428.3999938964844,428.70001220703125,426.3299865722656,427.5799865722656,427.5799865722656,0
15m,2023-11-09 11:15:00,427.1499938964844,428.0299987792969,426.7099914550781,426.9700012207031,426.9700012207031,0
15m,2023-11-09 11:30:00,427.2699890136719,427.9700012207031,426.4100036621094,427.25,427.25,0
15m,2023-11-09 11:45:00,427.0,427.3999938964844,425.739990234375,426.2900085449219,426.2900085449219,0
15m,2023-11-09 12:00:00,426.55999755859375,426.7699890136719,425.2900085449219,425.5400085449219,425.5400085449219,0
15m,2023-11-09 12:15:00,425.4599914550781,426.3399963378906,424.2200012207031,425.3699951171875,425.3699951171875,0
15m,2023-11-09 12:30:00,426.17999267578125,426.17999267578125,426.17999267578125,426.17999267578125,426.17999267578125,0
15m,2023-11-09 14:15:00,426.239990234375,426.6700134277344,425.57000732421875,425.7099914550781,425.7099914550781,0
15m,2023-11-09 14:30:00,426.4800109863281,428.6000061035156,426.20001220703125,428.6000061035156,428.6000061035156,0
15m,2023-11-09 14:45:00,428.7099914550781,429.55999755859375,428.3699951171875,429.55999755859375,429.55999755859375,0
15m,2023-11-09 15:00:00,429.4599914550781,430.6300048828125,429.3399963378906,430.19000244140625,430.19000244140625,0
15m,2023-11-09 15:15:00,429.80999755859375,431.989990234375,429.2799987792969,431.69000244140625,431.69000244140625,0
15m,2023-11-09 15:30:00,431.5799865722656,431.7799987792969,430.1700134277344,430.3699951171875,430.3699951171875,0
15m,2023-11-09 15:45:00,430.4700012207031,431.260009765625,430.0899963378906,430.6600036621094,430.6600036621094,0
15m,2023-11-09 16:00:00,430.739990234375,430.7799987792969,429.3900146484375,429.94000244140625,429.94000244140625,0
15m,2023-11-09 16:15:00,430.3500061035156,430.6000061035156,429.5299987792969,430.4599914550781,430.4599914550781,0
15m,2023-11-10 10:00:00,426.44000244140625,426.69000244140625,424.3800048828125,424.6700134277344,424.6700134277344,0
15m,2023-11-10 10:15:00,424.6099853515625,427.44000244140625,424.4599914550781,427.20001220703125,427.20001220703125,0
15m,2023-11-10 10:30:00,427.0400085449219,427.4700012207031,426.2900085449219,426.6300048828125,426.6300048828125,0
15m,2023-11-10 10:45:00,426.6300048828125,427.0400085449219,425.70001220703125,426.5299987792969,426.5299987792969,0
15m,2023-11-10 11:00:00,426.2799987792969,426.9200134277344,425.6099853515625,426.07000732421875,426.07000732421875,0
15m,2023-11-10 11:15:00,425.6600036621094,427.95001220703125,425.6600036621094,427.44000244140625,427.44000244140625,0
15m,2023-11-10 11:30:00,427.7799987792969,428.69000244140625,427.3699951171875,427.6099853515625,427.6099853515625,0
15m,2023-11-10 11:45:00,427.4599914550781,428.80999755859375,427.0899963378906,428.5400085449219,428.5400085449219,0
15m,2023-11-10 12:00:00,428.6099853515625,429.0,428.07000732421875,428.29998779296875,428.29998779296875,0
15m,2023-11-10 12:15:00,428.4200134277344,428.82000732421875,427.5199890136719,427.8699951171875,427.8699951171875,0
