Interval,Date,Open,High,Low,Close,Adj Close,Volume
15m,2023-11-09 10:00:00,8.5600004196167,8.569999694824219,8.520000457763672,8.529999732971191,8.529999732971191,38392
15m,2023-11-09 10:15:00,8.539999961853027,8.539999961853027,8.520000457763672,8.529999732971191,8.529999732971191,3500
15m,2023-11-09 10:30:00,8.520000457763672,8.529999732971191,8.5,8.5,8.5,114723
15m,2023-11-09 10:45:00,8.489999771118164,8.5,8.489999771118164,8.5,8.5,32403
15m,2023-11-09 11:00:00,8.5,8.5,8.479999542236328,8.489999771118164,8.489999771118164,37655
15m,2023-11-09 11:15:00,8.489999771118164,8.489999771118164,8.489999771118164,8.489999771118164,8.489999771118164,16002
15m,2023-11-09 11:30:00,8.479999542236328,8.489999771118164,8.479999542236328,8.489999771118164,8.489999771118164,48234
15m,2023-11-09 11:45:00,8.489999771118164,8.489999771118164,8.479999542236328,8.489999771118164,8.489999771118164,8136
15m,2023-11-09 12:00:00,8.489999771118164,8.489999771118164,8.479999542236328,8.489999771118164,8.489999771118164,1777
15m,2023-11-09 12:15:00,8.479999542236328,8.479999542236328,8.479999542236328,8.479999542236328,8.479999542236328,29207
15m,2023-11-09 14:15:00,8.479999542236328,8.489999771118164,8.479999542236328,8.479999542236328,8.479999542236328,8434
15m,2023-11-09 14:30:00,8.489999771118164,8.520000457763672,8.489999771118164,8.520000457763672,8.520000457763672,86196
15m,2023-11-09 14:45:00,8.520000457763672,8.539999961853027,8.520000457763672,8.529999732971191,8.529999732971191,3716
15m,2023-11-09 15:00:00,8.529999732971191,8.5600004196167,8.529999732971191,8.550000190734863,8.550000190734863,17870
15m,2023-11-09 15:15:00,8.550000190734863,8.5600004196167,8.539999961853027,8.5600004196167,8.5600004196167,42957
15m,2023-11-09 15:30:00,8.5600004196167,8.579999923706055,8.5600004196167,8.569999694824219,8.569999694824219,1410
15m,2023-11-09 15:45:00,8.569999694824219,8.569999694824219,8.5600004196167,8.5600004196167,8.5600004196167,500
15m,2023-11-09 16:00:00,8.5600004196167,8.569999694824219,8.5600004196167,8.569999694824219,8.569999694824219,2205
15m,2023-11-09 16:15:00,8.5600004196167,8.5600004196167,8.550000190734863,8.5600004196167,8.5600004196167,4900
15m,2023-11-10 10:00:00,8.479999542236328,8.479999542236328,8.4399995803833,8.449999809265137,8.449999809265137,121224
15m,2023-11-10 10:15:00,8.449999809265137,8.489999771118164,8.449999809265137,8.479999542236328,8.479999542236328,13778
15m,2023-11-10 10:30:00,8.479999542236328,8.489999771118164,8.479999542236328,8.489999771118164,8.489999771118164,3906
15m,2023-11-10 10:45:00,8.489999771118164,8.489999771118164,8.479999542236328,8.479999542236328,8.479999542236328,5600
15m,2023-11-10 11:00:00,8.470000267028809,8.479999542236328,8.460000038146973,8.460000038146973,8.460000038146973,20100
15m,2023-11-10 11:15:00,8.489999771118164,8.5,8.479999542236328,8.5,8.5,500
15m,2023-11-10 11:30:00,8.5,8.510000228881836,8.5,8.510000228881836,8.510000228881836,3500
15m,2023-11-10 11:45:00,8.510000228881836,8.510000228881836,8.5,8.5,8.5,122
15m,2023-11-10 12:00:00,8.5,8.5,8.489999771118164,8.5,8.5,1341
15m,2023-11-10 12:15:00,8.520000457763672,8.520000457763672,8.510000228881836,8.510000228881836,8.510000228881836,410
15m,2023-11-10 14:15:00,8.510000228881836,8.510000228881836,8.5,8.5,8.5,20600
15m,2023-11-10 14:30:00,8.510000228881836,8.520000457763672,8.510000228881836,8.520000457763672,8.520000457763672,2623
15m,2023-11-10 14:45:00,8.520000457763672,8.529999732971191,8.520000457763672,8.529999732971191,8.529999732971191,18919
15m,2023-11-10 15:00:00,8.529999732971191,8.550000190734863,8.520000457763672,8.520000457763672,8.520000457763672,19947
15m,2023-11-10 15:15:00,8.510000228881836,8.520000457763672,8.510000228881836,8.520000457763672,8.520000457763672,5350
15m,2023-11-10 15:30:00,8.520000457763672,8.529999732971191,8.520000457763672,8.529999732971191,8.529999732971191,1120
15m,2023-11-10 15:45:00,8.520000457763672,8.520000457763672,8.5,8.5,8.5,21001
15m,2023-11-10 16:00:00,8.5,8.5,8.479999542236328,8.479999542236328,8.479999542236328,18280
15m,2023-11-10 16:15:00,8.489999771118164,8.489999771118164,8.479999542236328,8.479999542236328,8.479999542236328,3065
