Interval,Date,Open,High,Low,Close,Adj Close,Volume
1m,2024-01-03 10:00:00+07:00,99.5,99.5,99.5,99.5,99.5,0
1m,2024-01-03 10:02:00+07:00,99.75,100.0,99.75,100.0,100.0,241605
1m,2024-01-03 10:03:00+07:00,100.0,100.0,100.0,100.0,100.0,5245
1m,2024-01-03 10:04:00+07:00,100.0,100.5,100.0,100.5,100.5,675732
1m,2024-01-03 10:05:00+07:00,100.5,100.5,100.0,100.5,100.5,200635
1m,2024-01-03 10:06:00+07:00,100.5,100.5,100.0,100.5,100.5,21600
1m,2024-01-03 10:07:00+07:00,100.5,100.5,100.0,100.5,100.5,15873
1m,2024-01-03 10:08:00+07:00,100.5,100.5,100.0,100.5,100.5,2606
1m,2024-01-03 10:09:00+07:00,100.0,100.5,100.0,100.0,100.0,17509
1m,2024-01-03 10:10:00+07:00,100.5,100.5,100.0,100.0,100.0,2900
1m,2024-01-03 10:11:00+07:00,100.0,100.5,100.0,100.5,100.5,1905
1m,2024-01-03 10:12:00+07:00,100.5,100.5,100.5,100.5,100.5,200
1m,2024-01-03 10:13:00+07:00,100.5,100.5,100.5,100.5,100.5,2500
1m,2024-01-03 10:14:00+07:00,100.0,100.0,100.0,100.0,100.0,3312
1m,2024-01-03 10:15:00+07:00,100.0,100.5,100.0,100.5,100.5,1400
1m,2024-01-03 10:16:00+07:00,100.5,100.5,100.0,100.0,100.0,610
1m,2024-01-03 10:17:00+07:00,100.5,100.5,100.0,100.0,100.0,604
1m,2024-01-03 10:18:00+07:00,100.0,100.0,100.0,100.0,100.0,1311
1m,2024-01-03 10:19:00+07:00,100.5,100.5,100.0,100.0,100.0,601
1m,2024-01-03 10:20:00+07:00,100.5,100.5,100.5,100.5,100.5,1410
1m,2024-01-03 10:21:00+07:00,100.5,100.5,100.5,100.5,100.5,201
1m,2024-01-03 10:22:00+07:00,100.5,100.5,100.0,100.0,100.0,4240
1m,2024-01-03 10:23:00+07:00,100.5,100.5,100.5,100.5,100.5,200
1m,2024-01-03 10:24:00+07:00,100.5,100.5,100.5,100.5,100.5,2406
1m,2024-01-03 10:25:00+07:00,100.0,100.0,100.0,100.0,100.0,315
1m,2024-01-03 10:26:00+07:00,100.5,100.5,100.5,100.5,100.5,2800
1m,2024-01-03 10:28:00+07:00,100.5,100.5,100.5,100.5,100.5,0
1m,2024-01-03 10:29:00+07:00,100.0,100.5,100.0,100.0,100.0,3250
1m,2024-01-03 10:30:00+07:00,100.5,100.5,100.0,100.0,100.0,800
1m,2024-01-03 10:31:00+07:00,100.5,100.5,100.5,100.5,100.5,1600
1m,2024-01-03 10:32:00+07:00,100.5,100.5,100.0,100.0,100.0,1608
1m,2024-01-03 10:34:00+07:00,100.0,100.0,100.0,100.0,100.0,1522
1m,2024-01-03 10:36:00+07:00,100.0,100.5,100.0,100.0,100.0,1707
1m,2024-01-03 10:37:00+07:00,100.5,100.5,100.5,100.5,100.5,0
1m,2024-01-03 10:39:00+07:00,100.5,100.5,100.5,100.5,100.5,702
1m,2024-01-03 10:40:00+07:00,100.5,100.5,100.5,100.5,100.5,800
1m,2024-01-03 10:41:00+07:00,100.5,100.5,100.5,100.5,100.5,1100
1m,2024-01-03 10:42:00+07:00,100.5,100.5,100.5,100.5,100.5,7805
1m,2024-01-03 10:43:00+07:00,100.0,100.0,100.0,100.0,100.0,101
1m,2024-01-03 10:44:00+07:00,100.5,100.5,100.5,100.5,100.5,2200
1m,2024-01-03 10:45:00+07:00,100.5,100.5,100.0,100.0,100.0,4915
1m,2024-01-03 10:46:00+07:00,100.0,100.5,100.0,100.0,100.0,16807
