Interval,Date,Open,High,Low,Close,Adj Close,Volume
5m,2023-11-13 10:00:00+07:00,47.0,47.0,46.75,46.75,46.75,0
5m,2023-11-13 10:05:00+07:00,47.0,47.0,46.75,47.0,47.0,129400
5m,2023-11-13 10:10:00+07:00,46.75,47.0,46.75,46.75,46.75,62702
5m,2023-11-13 10:15:00+07:00,47.0,47.25,46.75,47.25,47.25,511000
5m,2023-11-13 10:20:00+07:00,47.25,47.25,47.0,47.25,47.25,22100
5m,2023-11-13 10:25:00+07:00,47.25,47.25,46.75,46.75,46.75,464500
5m,2023-11-13 10:30:00+07:00,47.0,47.0,46.75,46.75,46.75,64300
5m,2023-11-13 10:35:00+07:00,47.0,47.25,47.0,47.0,47.0,242700
5m,2023-11-13 10:40:00+07:00,47.25,47.25,47.0,47.25,47.25,19800
5m,2023-11-13 10:45:00+07:00,47.25,47.25,47.0,47.25,47.25,20300
5m,2023-11-13 10:50:00+07:00,47.25,47.25,47.0,47.0,47.0,28810
5m,2023-11-13 10:55:00+07:00,47.25,47.25,47.0,47.25,47.25,61201
5m,2023-11-13 11:00:00+07:00,47.25,47.25,47.0,47.0,47.0,137620
5m,2023-11-13 11:05:00+07:00,47.25,47.25,47.0,47.25,47.25,42400
5m,2023-11-13 11:10:00+07:00,47.0,47.25,47.0,47.25,47.25,30000
5m,2023-11-13 11:15:00+07:00,47.25,47.25,47.0,47.25,47.25,39400
5m,2023-11-13 11:20:00+07:00,47.25,47.5,47.0,47.5,47.5,575200
5m,2023-11-13 11:25:00+07:00,47.25,47.5,47.25,47.5,47.5,22954
5m,2023-11-13 11:30:00+07:00,47.5,47.5,47.25,47.5,47.5,24242
5m,2023-11-13 11:35:00+07:00,47.5,47.5,47.25,47.25,47.25,152200
5m,2023-11-13 11:40:00+07:00,47.5,47.5,47.0,47.25,47.25,1019001
5m,2023-11-13 11:45:00+07:00,47.25,47.5,47.25,47.5,47.5,112200
5m,2023-11-13 11:50:00+07:00,47.5,47.5,47.5,47.5,47.5,4796
5m,2023-11-13 11:55:00+07:00,47.5,47.5,47.25,47.25,47.25,2100
5m,2023-11-13 12:00:00+07:00,47.5,47.5,47.25,47.25,47.25,2500
5m,2023-11-13 12:05:00+07:00,47.25,47.5,47.25,47.5,47.5,25800
5m,2023-11-13 12:10:00+07:00,47.25,47.5,47.25,47.5,47.5,11900
5m,2023-11-13 12:15:00+07:00,47.25,47.5,47.25,47.25,47.25,76904
5m,2023-11-13 12:20:00+07:00,47.5,47.5,47.25,47.5,47.5,65711
5m,2023-11-13 12:25:00+07:00,47.25,47.5,47.25,47.25,47.25,118400
5m,2023-11-13 14:25:00+07:00,47.25,47.5,47.25,47.5,47.5,141500
5m,2023-11-13 14:30:00+07:00,47.5,47.5,47.25,47.25,47.25,36900
5m,2023-11-13 14:35:00+07:00,47.5,47.5,47.25,47.5,47.5,41002
5m,2023-11-13 14:40:00+07:00,47.5,47.75,47.5,47.75,47.75,544110
5m,2023-11-13 14:45:00+07:00,47.75,47.75,47.75,47.75,47.75,356815
5m,2023-11-13 14:50:00+07:00,47.75,47.75,47.75,47.75,47.75,56300
5m,2023-11-13 14:55:00+07:00,47.75,47.75,47.5,47.75,47.75,24800
5m,2023-11-13 15:00:00+07:00,47.75,47.75,47.5,47.75,47.75,18716
5m,2023-11-13 15:05:00+07:00,47.75,47.75,47.5,47.75,47.75,22300
5m,2023-11-13 15:10:00+07:00,47.75,47.75,47.5,47.75,47.75,46500
5m,2023-11-13 15:15:00+07:00,47.75,47.75,47.5,47.75,47.75,139400
5m,2023-11-13 15:20:00+07:00,47.75,47.75,47.5,47.75,47.75,12800
5m,2023-11-13 15:25:00+07:00,47.75,47.75,47.5,47.75,47.75,156000
5m,2023-11-13 15:30:00+07:00,47.75,48.0,47.75,47.75,47.75,976700
5m,2023-11-13 15:35:00+07:00,47.75,47.75,47.5,47.75,47.75,18420
5m,2023-11-13 15:40:00+07:00,47.75,47.75,47.5,47.75,47.75,374501
5m,2023-11-13 15:45:00+07:00,47.5,47.75,47.5,47.75,47.75,110242
5m,2023-11-13 15:50:00+07:00,47.75,47.75,47.5,47.75,47.75,26402
5m,2023-11-13 15:55:00+07:00,47.5,47.75,47.5,47.75,47.75,12506
5m,2023-11-13 16:00:00+07:00,47.75,47.75,47.5,47.75,47.75,166500
5m,2023-11-13 16:05:00+07:00,47.75,47.75,47.5,47.5,47.5,93200
5m,2023-11-13 16:10:00+07:00,47.5,47.75,47.5,47.75,47.75,120420
5m,2023-11-13 16:15:00+07:00,47.5,47.75,47.5,47.5,47.5,109232
5m,2023-11-13 16:20:00+07:00,47.5,47.75,47.5,47.5,47.5,169605
5m,2023-11-13 16:25:00+07:00,47.75,47.75,47.5,47.5,47.5,264903
5m,2023-11-14 10:00:00+07:00,47.75,48.25,47.75,48.25,48.25,0
5m,2023-11-14 10:05:00+07:00,48.0,48.25,48.0,48.25,48.25,70000
5m,2023-11-14 10:10:00+07:00,48.0,48.25,47.75,48.25,48.25,521808
5m,2023-11-14 10:15:00+07:00,48.0,48.25,48.0,48.0,48.0,27701
5m,2023-11-14 10:20:00+07:00,48.0,48.25,48.0,48.0,48.0,449200
5m,2023-11-14 10:25:00+07:00,48.0,48.25,48.0,48.25,48.25,141000
5m,2023-11-14 10:30:00+07:00,48.25,48.25,48.0,48.25,48.25,115020
5m,2023-11-14 10:35:00+07:00,48.0,48.25,48.0,48.25,48.25,59400
5m,2023-11-14 10:40:00+07:00,48.0,48.25,48.0,48.25,48.25,111110
5m,2023-11-14 10:45:00+07:00,48.25,48.25,48.0,48.25,48.25,55207
5m,2023-11-14 10:50:00+07:00,48.25,48.25,48.0,48.25,48.25,57351
5m,2023-11-14 10:55:00+07:00,48.25,48.25,48.0,48.0,48.0,70603
5m,2023-11-14 11:00:00+07:00,48.25,48.25,48.0,48.25,48.25,51979
5m,2023-11-14 11:05:00+07:00,48.25,48.25,48.0,48.25,48.25,34901
5m,2023-11-14 11:10:00+07:00,48.25,48.25,48.0,48.25,48.25,72880
5m,2023-11-14 11:15:00+07:00,48.25,48.25,48.0,48.25,48.25,53500
5m,2023-11-14 11:20:00+07:00,48.25,48.25,48.0,48.25,48.25,46200
5m,2023-11-14 11:25:00+07:00,48.25,48.25,48.0,48.25,48.25,37828
5m,2023-11-14 11:30:00+07:00,48.0,48.5,48.0,48.5,48.5,1097342
5m,2023-11-14 11:35:00+07:00,48.5,48.5,48.5,48.5,48.5,13703
5m,2023-11-14 11:40:00+07:00,48.5,48.5,48.25,48.5,48.5,30104
5m,2023-11-14 11:45:00+07:00,48.5,48.5,48.25,48.5,48.5,31600
5m,2023-11-14 11:50:00+07:00,48.5,48.5,48.25,48.5,48.5,28719
5m,2023-11-14 11:55:00+07:00,48.5,48.5,48.25,48.5,48.5,222324
5m,2023-11-14 12:00:00+07:00,48.5,48.5,48.5,48.5,48.5,73900
5m,2023-11-14 12:05:00+07:00,48.5,48.5,48.25,48.5,48.5,50700
5m,2023-11-14 12:10:00+07:00,48.5,48.5,48.25,48.5,48.5,38169
5m,2023-11-14 12:15:00+07:00,48.5,48.5,48.25,48.5,48.5,211000
5m,2023-11-14 12:20:00+07:00,48.5,48.5,48.25,48.5,48.5,140102
5m,2023-11-14 12:25:00+07:00,48.25,48.5,48.25,48.25,48.25,475600
5m,2023-11-14 14:25:00+07:00,48.25,48.25,48.25,48.25,48.25,59400
5m,2023-11-14 14:30:00+07:00,48.25,48.5,48.25,48.25,48.25,397804
5m,2023-11-14 14:35:00+07:00,48.25,48.5,48.25,48.25,48.25,182500
5m,2023-11-14 14:40:00+07:00,48.5,48.5,48.25,48.5,48.5,18900
5m,2023-11-14 14:45:00+07:00,48.5,48.5,48.25,48.5,48.5,11000
5m,2023-11-14 14:50:00+07:00,48.5,48.5,48.5,48.5,48.5,6616
5m,2023-11-14 14:55:00+07:00,48.5,48.5,48.25,48.5,48.5,33631
5m,2023-11-14 15:00:00+07:00,48.5,48.5,48.25,48.5,48.5,32800
5m,2023-11-14 15:05:00+07:00,48.5,48.5,48.25,48.5,48.5,20002
5m,2023-11-14 15:10:00+07:00,48.5,48.5,48.25,48.5,48.5,16319
5m,2023-11-14 15:15:00+07:00,48.25,48.5,48.25,48.5,48.5,25101
5m,2023-11-14 15:20:00+07:00,48.5,48.75,48.25,48.5,48.5,1075785
