Interval,Date,Open,High,Low,Close,Adj Close,Volume
15m,2023-11-09 10:00:00,561.77001953125,561.77001953125,557.5999755859375,560.3300170898438,560.3300170898438,0
15m,2023-11-09 10:15:00,560.3300170898438,561.010009765625,557.6599731445312,560.25,560.25,0
15m,2023-11-09 10:30:00,557.5900268554688,557.5900268554688,550.989990234375,550.989990234375,550.989990234375,0
15m,2023-11-09 10:45:00,550.989990234375,554.97998046875,550.989990234375,553.9000244140625,553.9000244140625,0
15m,2023-11-09 11:00:00,553.9000244140625,554.5499877929688,549.9400024414062,552.4299926757812,552.4299926757812,0
15m,2023-11-09 11:15:00,552.5700073242188,553.6400146484375,550.3300170898438,553.3900146484375,553.3900146484375,0
15m,2023-11-09 11:30:00,550.719970703125,553.8200073242188,550.719970703125,551.1500244140625,551.1500244140625,0
15m,2023-11-09 11:45:00,553.8200073242188,553.8499755859375,547.9500122070312,550.530029296875,550.530029296875,0
15m,2023-11-09 12:00:00,550.530029296875,551.0499877929688,546.5800170898438,546.6599731445312,546.6599731445312,0
15m,2023-11-09 12:15:00,549.3300170898438,550.1099853515625,546.5,547.0999755859375,547.0999755859375,0
15m,2023-11-09 12:30:00,547.0999755859375,547.0999755859375,547.0999755859375,547.0999755859375,547.0999755859375,0
15m,2023-11-09 14:15:00,547.0999755859375,550.0499877929688,547.0999755859375,547.3200073242188,547.3200073242188,0
15m,2023-11-09 14:30:00,547.1900024414062,550.3400268554688,543.3300170898438,550.3400268554688,550.3400268554688,0
15m,2023-11-09 14:45:00,550.4199829101562,551.6799926757812,550.4199829101562,550.739990234375,550.739990234375,0
15m,2023-11-09 15:00:00,550.739990234375,554.4099731445312,550.739990234375,553.8300170898438,553.8300170898438,0
15m,2023-11-09 15:15:00,553.8300170898438,554.77001953125,550.8099975585938,552.0599975585938,552.0599975585938,0
15m,2023-11-09 15:30:00,552.0599975585938,555.1099853515625,547.9000244140625,547.9000244140625,547.9000244140625,0
15m,2023-11-09 15:45:00,547.97998046875,551.0800170898438,547.6400146484375,550.739990234375,550.739990234375,0
15m,2023-11-09 16:00:00,548.0700073242188,550.9000244140625,547.5599975585938,550.3099975585938,550.3099975585938,0
15m,2023-11-09 16:15:00,550.3099975585938,551.5599975585938,547.6400146484375,548.9500122070312,548.9500122070312,0
